diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.247754,2.156161,24.78,1.36691,2.0,0.001,0.123877,0
0.247754,2.370784,24.78,1.36008,2.0,0.001,0.123877,0
0.247754,2.260869,24.78,1.3607,2.0,0.001,0.123877,0
0.247754,2.476135,24.78,1.35592,2.0,0.001,0.123877,0
0.247754,2.580571,24.78,1.36597,2.0,0.001,0.123877,0
0.247754,2.683182,24.78,1.35909,2.0,0.001,0.123877,0
0.247754,2.787356,24.78,1.35733,2.0,0.001,0.123877,0
0.247754,2.895706,24.78,1.3608,2.0,0.001,0.123877,0
0.247754,2.999685,24.78,1.35722,2.0,0.001,0.123877,0
0.268527,1.103366,26.85,1.40092,2.0,0.001,0.1342635,0
0.268527,1.000589,26.85,1.41321,2.0,0.001,0.1342635,0
0.268527,1.209432,26.85,1.38846,2.0,0.001,0.1342635,0
0.268527,1.315086,26.85,1.38037,2.0,0.001,0.1342635,0
0.268527,1.527817,26.85,1.37178,2.0,0.001,0.1342635,0
0.268527,1.420821,26.85,1.37143,2.0,0.001,0.1342635,0
0.268527,1.629998,26.85,1.36861,2.0,0.001,0.1342635,0
0.268527,1.736917,26.85,1.36468,2.0,0.001,0.1342635,0
0.268527,1.842592,26.85,1.36513,2.0,0.001,0.1342635,0
0.268527,1.944981,26.85,1.35904,2.0,0.001,0.1342635,0
0.268527,2.053198,26.85,1.36443,2.0,0.001,0.1342635,0
0.268527,2.156161,26.85,1.35843,2.0,0.001,0.1342635,0
0.268527,2.260869,26.85,1.36123,2.0,0.001,0.1342635,0
0.268527,2.370784,26.85,1.35886,2.0,0.001,0.1342635,0
0.268527,2.476135,26.85,1.35971,2.0,0.001,0.1342635,0
0.268527,2.580571,26.85,1.36178,2.0,0.001,0.1342635,0
0.268527,2.683182,26.85,1.35826,2.0,0.001,0.1342635,0
0.268527,2.787356,26.85,1.36007,2.0,0.001,0.1342635,0
0.268527,2.895706,26.85,1.3579,2.0,0.001,0.1342635,0
0.268527,2.999685,26.85,1.36076,2.0,0.001,0.1342635,0
0.289693,1.000589,28.97,1.43804,2.0,0.001,0.1448465,0
0.289693,1.103366,28.97,1.41449,2.0,0.001,0.1448465,0
0.289693,1.209432,28.97,1.4062,2.0,0.001,0.1448465,0
