diameter,x_center,U_inlet,Re,Cd
0.2,2.004,15.0,200000.0,0.9787048888888888
0.2,2.004,17.5,233333.3333333333,0.9792672653061224
0.2,2.004,20.0,266666.6666666667,0.980673
0.2,2.004,5.0,66666.66666666667,0.9829511999999999
0.2,2.004,7.5,100000.0,0.9645525333333335
0.2,2.332,10.0,133333.33333333334,0.9719196
0.2,2.332,12.5,166666.66666666666,0.98332288
0.2,2.332,15.0,200000.0,0.9832177777777777
0.2,2.332,17.5,233333.3333333333,0.9824404897959184
0.2,2.332,20.0,266666.6666666667,0.9856255
0.2,2.332,5.0,66666.66666666667,0.9906767999999999
0.2,2.332,7.5,100000.0,0.9695306666666668
0.2,2.659,10.0,133333.33333333334,0.9703383999999999
0.2,2.659,12.5,166666.66666666666,0.977764736
0.2,2.659,15.0,200000.0,0.9764915555555557
0.2,2.659,17.5,233333.3333333333,0.9778233469387755
0.2,2.659,20.0,266666.6666666667,0.9802085
0.2,2.659,5.0,66666.66666666667,0.9870392000000001
0.2,2.659,7.5,100000.0,0.9683459555555555
0.2,2.998,10.0,133333.33333333334,0.9766756000000001
0.2,2.998,12.5,166666.66666666666,0.98532032
0.2,2.998,15.0,200000.0,0.9862328888888888
0.2,2.998,17.5,233333.3333333333,0.9887568979591836
0.2,2.998,20.0,266666.6666666667,0.989964
0.2,2.998,5.0,66666.66666666667,0.9929696
0.2,2.998,7.5,100000.0,0.9804920888888888
0.251,1.0,10.0,167333.3333333333,1.0847765737051793
0.251,1.0,12.5,209166.6666666667,1.091046501992032
0.251,1.0,15.0,251000.0,1.0904308100929614
0.251,1.0,17.5,292833.3333333333,1.0906075615903732
0.251,1.0,20.0,334666.6666666666,1.0929745019920318
0.251,1.0,5.0,83666.66666666666,1.1123008764940239
0.251,1.0,7.5,125500.0,1.0851997521027004
0.251,1.332,10.0,167333.3333333333,1.071853705179283
0.251,1.332,12.5,209166.6666666667,1.0817529880478087
0.251,1.332,15.0,251000.0,1.0793958388667553
0.251,1.332,17.5,292833.3333333333,1.0750886413529555
0.251,1.332,20.0,334666.6666666666,1.075991235059761
0.251,1.332,5.0,83666.66666666666,1.0989450199203186
0.251,1.332,7.5,125500.0,1.0708440903054448
0.251,1.664,10.0,167333.3333333333,1.0390156175298804
0.251,1.664,12.5,209166.6666666667,1.0527954103585657
0.251,1.664,15.0,251000.0,1.0561034085878707
0.251,1.664,17.5,292833.3333333333,1.0611511179770712
0.251,1.664,20.0,334666.6666666666,1.065466533864542
0.251,1.664,5.0,83666.66666666666,1.0746849402390437
0.251,1.664,7.5,125500.0,1.033984736609119
0.251,2.004,10.0,167333.3333333333,1.0633365737051792
0.251,2.004,12.5,209166.6666666667,1.0683155378486056
0.251,2.004,15.0,251000.0,1.061979991146525
0.251,2.004,17.5,292833.3333333333,1.059248654362143
0.251,2.004,20.0,334666.6666666666,1.0616147410358565
0.251,2.004,5.0,83666.66666666666,1.0808656573705178
0.251,2.004,7.5,125500.0,1.0662232846392208
0.251,2.332,10.0,167333.3333333333,1.0603619123505976
0.251,2.332,12.5,209166.6666666667,1.069705689243028
0.251,2.332,15.0,251000.0,1.0706996015936254
0.251,2.332,17.5,292833.3333333333,1.0727511505000404
0.251,2.332,20.0,334666.6666666666,1.0753641434262948
0.251,2.332,5.0,83666.66666666666,1.0789564940239043
0.251,2.332,7.5,125500.0,1.0564617972554227
0.251,2.659,10.0,167333.3333333333,1.0497257370517927
0.251,2.659,12.5,209166.6666666667,1.0644857370517928
0.251,2.659,15.0,251000.0,1.0686916334661354
0.251,2.659,17.5,292833.3333333333,1.0760492397755914
0.251,2.659,20.0,334666.6666666666,1.0757509960159362
0.251,2.659,5.0,83666.66666666666,1.0711955378486056
0.251,2.659,7.5,125500.0,1.044441469676848
0.251,2.998,10.0,167333.3333333333,1.0583529880478086
0.251,2.998,12.5,209166.6666666667,1.0689509482071713
0.251,2.998,15.0,251000.0,1.0681561752988047
0.251,2.998,17.5,292833.3333333333,1.0737767948613708
0.251,2.998,20.0,334666.6666666666,1.0778828685258963
0.251,2.998,5.0,83666.66666666666,1.0682352191235058
0.251,2.998,7.5,125500.0,1.0490458432934926
0.3,1.0,10.0,200000.0,1.1767009333333334
0.3,1.0,12.5,250000.0,1.1880610133333334
0.3,1.0,15.0,300000.0,1.1894518518518518
0.3,1.0,17.5,350000.0,1.1931781224489795
0.3,1.0,20.0,400000.0,1.198769
0.3,1.0,5.0,100000.0,1.1986981333333333
0.3,1.0,7.5,150000.0,1.1734648888888888
0.3,1.332,10.0,200000.0,1.1491972
0.3,1.332,12.5,250000.0,1.1496806400000001
0.3,1.332,15.0,300000.0,1.145857185185185
0.3,1.332,17.5,350000.0,1.1428331972789116
0.3,1.332,20.0,400000.0,1.145834
0.3,1.332,5.0,100000.0,1.2050752
0.3,1.332,7.5,150000.0,1.1602913185185186
